 Foreign National Tariff Line,Country,Foreign Tariff Line Description,Current Total Estimated Retaliatory Tariff,Source.Name,HS Subheading,Tariff Line
07095930,China,"Other vegetables, fresh or chilled. - - Other ---Winter mushroom",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070959,"07095930 - Other vegetables, fresh or chilled. - - Other ---Winter mushroom"
07095940,China,"Other vegetables, fresh or chilled. - - Other ---Paddy Straw mushroom",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070959,"07095940 - Other vegetables, fresh or chilled. - - Other ---Paddy Straw mushroom"
07095950,China,"Other vegetables, fresh or chilled. - - Other ---Tricholoma mongolicum Imai",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070959,"07095950 - Other vegetables, fresh or chilled. - - Other ---Tricholoma mongolicum Imai"
07095960,China,"Other vegetables, fresh or chilled. - - Other ---Truffle",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070959,"07095960 - Other vegetables, fresh or chilled. - - Other ---Truffle"
07095990,China,"Other vegetables, fresh or chilled. - - Other ---Other",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070959,"07095990 - Other vegetables, fresh or chilled. - - Other ---Other"
07096000,China,"Other vegetables, fresh or chilled. - Fruits of the genus Capsicum or of the genus Pimenta",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070960,"07096000 - Other vegetables, fresh or chilled. - Fruits of the genus Capsicum or of the genus Pimenta"
07097000,China,"Other vegetables, fresh or chilled. - Spinach, New Zealand spinach and orache spinach (garden spinach)",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070970,"07097000 - Other vegetables, fresh or chilled. - Spinach, New Zealand spinach and orache spinach (garden spinach)"
07099100,China,"Other vegetables, fresh or chilled. - - Globe artichokes",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070991,"07099100 - Other vegetables, fresh or chilled. - - Globe artichokes"
07099200,China,"Other vegetables, fresh or chilled. - - Olives",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070992,"07099200 - Other vegetables, fresh or chilled. - - Olives"
07099300,China,"Other vegetables, fresh or chilled. - - Pumpkins, squash and gourds (Cucurbita spp.)",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070993,"07099300 - Other vegetables, fresh or chilled. - - Pumpkins, squash and gourds (Cucurbita spp.)"
07099910,China,"Other vegetables, fresh or chilled. - - Other ---Bamboo shoots",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070999,"07099910 - Other vegetables, fresh or chilled. - - Other ---Bamboo shoots"
07099990,China,"Other vegetables, fresh or chilled. - - Other ---Other",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,070999,"07099990 - Other vegetables, fresh or chilled. - - Other ---Other"
07101000,China,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen. - Potatoes",15.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,071010,"07101000 - Vegetables (uncooked or cooked by steaming or boiling in water), frozen. - Potatoes"
07102100,China,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen. - - Peas (Pisum sativum)",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,071021,"07102100 - Vegetables (uncooked or cooked by steaming or boiling in water), frozen. - - Peas (Pisum sativum)"
07102210,China,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen. - - Beans (Vigna spp., Phaseolus spp.) ---Adzuki beans",2.5%,Retaliation_Product_Matrix_9.5.2023.xlsx,071022,"07102210 - Vegetables (uncooked or cooked by steaming or boiling in water), frozen. - - Beans (Vigna spp., Phaseolus spp.) ---Adzuki beans"
07102290,China,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen. - - Beans (Vigna spp., Phaseolus spp.) ---Other",15.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,071022,"07102290 - Vegetables (uncooked or cooked by steaming or boiling in water), frozen. - - Beans (Vigna spp., Phaseolus spp.) ---Other"
07102900,China,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen. - - Other",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,071029,"07102900 - Vegetables (uncooked or cooked by steaming or boiling in water), frozen. - - Other"
07103000,China,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen. - Spinach, New Zealand spinach and orache spinach (garden spinach)",30.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,071030,"07103000 - Vegetables (uncooked or cooked by steaming or boiling in water), frozen. - Spinach, New Zealand spinach and orache spinach (garden spinach)"
07104000,China,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen. - Sweet corn",15.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,071040,"07104000 - Vegetables (uncooked or cooked by steaming or boiling in water), frozen. - Sweet corn"
07108010,China,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen. - Other vegetables ---Sungmo",2.5%,Retaliation_Product_Matrix_9.5.2023.xlsx,071080,"07108010 - Vegetables (uncooked or cooked by steaming or boiling in water), frozen. - Other vegetables ---Sungmo"
07108020,China,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen. - Other vegetables ---Garlic stems, garlic seedlings",2.5%,Retaliation_Product_Matrix_9.5.2023.xlsx,071080,"07108020 - Vegetables (uncooked or cooked by steaming or boiling in water), frozen. - Other vegetables ---Garlic stems, garlic seedlings"
07108030,China,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen. - Other vegetables ---Garlic bulbs",2.5%,Retaliation_Product_Matrix_9.5.2023.xlsx,071080,"07108030 - Vegetables (uncooked or cooked by steaming or boiling in water), frozen. - Other vegetables ---Garlic bulbs"
07108040,China,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen. - Other vegetables ---Boletus(Porcini)",2.5%,Retaliation_Product_Matrix_9.5.2023.xlsx,071080,"07108040 - Vegetables (uncooked or cooked by steaming or boiling in water), frozen. - Other vegetables ---Boletus(Porcini)"
07108090,China,"Vegetables (uncooked or cooked by steaming or boiling in water), frozen. - Other vegetables ---Other",15.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,071080,"07108090 - Vegetables (uncooked or cooked by steaming or boiling in water), frozen. - Other vegetables ---Other"
08134040,China,"Fruit, dried, other than that of headings 08.01 to 08.06; mixtures of nuts or dried fruits of this C - Other fruit ---Preserved litchi",45.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,081340,"08134040 - Fruit, dried, other than that of headings 08.01 to 08.06; mixtures of nuts or dried fruits of this C - Other fruit ---Preserved litchi"
08134090,China,"Fruit, dried, other than that of headings 08.01 to 08.06; mixtures of nuts or dried fruits of this C - Other fruit ---Other",45.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,081340,"08134090 - Fruit, dried, other than that of headings 08.01 to 08.06; mixtures of nuts or dried fruits of this C - Other fruit ---Other"
08135000,China,"Fruit, dried, other than that of headings 08.01 to 08.06; mixtures of nuts or dried fruits of this C - Mixtures of nuts or dried fruits of this Chapter",45.0%,Retaliation_Product_Matrix_9.5.2023.xlsx,081350,"08135000 - Fruit, dried, other than that of headings 08.01 to 08.06; mixtures of nuts or dried fruits of this C - Mixtures of nuts or dried fruits of this Chapter"
